Speaker,Utterance,Dialogue_Act,classID,Idx,tokenNum,labels,change_speaker,context
b,i'm awfully sorry,expressRegret,16,33,3,L16,0,@ oh hello @ i'm awfully sorry
b,i rang up yesterday,inform,21,34,4,L21,0,@ i'm awfully sorry @ i rang up yesterday
b,wonder if you can help me really,direct,10,35,7,L10,0,@ i rang up yesterday @ wonder if you can help me really
a,hello,backch,5,36,1,L5,1,# wonder if you can help me really @ hello
a,right,ackn,1,37,1,L1,0,@ hello @ right
b,um and i ordered a phone,inform,21,38,6,L21,1,# right @ um and i ordered a phone
b,i wanted to send this answer phone back,inform,21,39,8,L21,0,@ um and i ordered a phone @ i wanted to send this answer phone back
a,oh yeah,ackn,1,40,2,L1,1,# i wanted to send this answer phone back @ oh yeah
b,um and i ordered a phone with call display call waiting,inform,21,41,11,L21,1,# oh yeah @ um and i ordered a phone with call display call waiting
b,and i've got incoming calls only,inform,21,42,6,L21,0,@ um and i ordered a phone with call display call waiting @ and i've got incoming calls only
b,so,init,25,43,1,L25,0,@ and i've got incoming calls only @ so
b,i wanted outgoing calls as well um cos me boyfriend's moving in here next week he forgot to tell me last night he told me he'd got the phone and i've paid,inform,21,44,32,L21,0,@ so @ i wanted outgoing calls as well um cos me boyfriend's moving in here next week he forgot to tell me last night he told me he'd got the phone and i've paid
b,um cos me boyfriend's moving in here next week,inform,21,45,9,L21,0,@ i wanted outgoing calls as well um cos me boyfriend's moving in here next week he forgot to tell me last night he told me he'd got the phone and i've paid @ um cos me boyfriend's moving in here next week
a,uh hmm,backch,5,46,2,L5,1,# um cos me boyfriend's moving in here next week @ uh hmm
a,oh right,ackn,1,47,2,L1,0,@ uh hmm @ oh right
a,yeah,ackn,1,48,1,L1,0,@ oh right @ yeah
b,he forgot to tell me,inform,21,49,5,L21,1,# yeah @ he forgot to tell me
b,last night he told me he'd got the phone,inform,21,50,9,L21,0,@ he forgot to tell me @ last night he told me he'd got the phone
a,right,ackn,1,51,1,L1,1,# last night he told me he'd got the phone @ right
b,and i've paid for it on me card yesterday,inform,21,52,9,L21,1,# right @ and i've paid for it on me card yesterday
a,so,init,25,53,1,L25,1,# and i've paid for it on me card yesterday @ so
a,you've paid for these services,confirm,8,54,5,L8,0,@ so @ you've paid for these services
a,so,init,25,55,1,L25,0,@ you've paid for these services @ so
b,sorry,pardon,28,56,1,L28,1,# so @ sorry
a,you've paid for the services with the phone haven't you like the call waiting and display,confirm,8,57,16,L8,1,# sorry @ you've paid for the services with the phone haven't you like the call waiting and display
b,i paid pounds yesterday,inform,21,58,4,L21,1,# you've paid for the services with the phone haven't you like the call waiting and display @ i paid pounds yesterday
a,that's right yeah,ackn,1,59,3,L1,1,# i paid pounds yesterday @ that's right yeah
a,and if you've only got um incoming calls,confirm,8,60,8,L8,0,@ that's right yeah @ and if you've only got um incoming calls
b,yeah,ackn,1,61,1,L1,1,# and if you've only got um incoming calls @ yeah
a,oh no,exclaim,13,62,2,L13,1,# yeah @ oh no
a,that isn't a problem,inform,21,63,4,L21,0,@ oh no @ that isn't a problem
b,i wonder if you could tell me um,direct,10,64,8,L10,1,# that isn't a problem @ i wonder if you could tell me um
b,i'm just going to be moving into a new house shortly,inform,21,65,11,L21,0,@ i wonder if you could tell me um @ i'm just going to be moving into a new house shortly
b,and at the moment there's no phone line at all in the house uh how much does it cost to get to come and install a line it's a brand new house,inform,21,66,32,L21,0,@ i'm just going to be moving into a new house shortly @ and at the moment there's no phone line at all in the house uh how much does it cost to get to come and install a line it's a brand new house
b,uh how much does it cost to get to come and install a line,reqInfo,33,67,14,L33,0,@ and at the moment there's no phone line at all in the house uh how much does it cost to get to come and install a line it's a brand new house @ uh how much does it cost to get to come and install a line
a,right,ackn,1,68,1,L1,1,# uh how much does it cost to get to come and install a line @ right
a,do you know whether there has been service in the past or,reqInfo,33,69,12,L33,0,@ right @ do you know whether there has been service in the past or
b,just been built,answElab,3,70,3,L3,1,# do you know whether there has been service in the past or @ just been built
a,oh it's brand new,confirm,8,71,4,L8,1,# just been built @ oh it's brand new
a,right okay well,init,25,72,3,L25,0,@ oh it's brand new @ right okay well
a,there's two options,inform,21,73,3,L21,0,@ right okay well @ there's two options
a,um either way it's an installation fee,inform,21,74,7,L21,0,@ there's two options @ um either way it's an installation fee
a,for a standard line to be installed,inform,21,75,7,L21,0,@ um either way it's an installation fee @ for a standard line to be installed
a,it's actually pounds,inform,21,76,3,L21,0,@ for a standard line to be installed @ it's actually pounds
b,yeah,ackn,1,77,1,L1,1,# it's actually pounds @ yeah
a,okay,ackn,1,78,1,L1,1,# yeah @ okay
a,and that's with normal line rental which is every quarter,inform,21,79,10,L21,0,@ okay @ and that's with normal line rental which is every quarter
a,the other option is to actually install under the B T Together discount plan which is um to install,inform,21,80,19,L21,0,@ and that's with normal line rental which is every quarter @ the other option is to actually install under the B T Together discount plan which is um to install
b,yeah,backch,5,81,1,L5,1,# the other option is to actually install under the B T Together discount plan which is um to install @ yeah
b,yeah,ackn,1,82,1,L1,0,@ yeah @ yeah
a,uh but it's actually per quarter,inform,21,83,6,L21,1,# yeah @ uh but it's actually per quarter
a,but then on that package you do actually get all your calls discounted,inform,21,84,13,L21,0,@ uh but it's actually per quarter @ but then on that package you do actually get all your calls discounted
a,um plus you get a call allowance as well,inform,21,85,9,L21,0,@ but then on that package you do actually get all your calls discounted @ um plus you get a call allowance as well
a,so,init,25,86,1,L25,0,@ um plus you get a call allowance as well @ so
a,you get free calls worth six pounds every quarter too,inform,21,87,10,L21,0,@ so @ you get free calls worth six pounds every quarter too
b,okay,ackn,1,88,1,L1,1,# you get free calls worth six pounds every quarter too @ okay
b,that's great,appreciate,4,89,2,L4,0,@ okay @ that's great
a,alright,ackn,1,90,1,L1,1,# that's great @ alright
b,okay,ackn,1,91,1,L1,1,# alright @ okay
b,and how how quickly can you arrange that,reqInfo,33,92,8,L33,0,@ okay @ and how how quickly can you arrange that
a,because we need to send out an engineer,inform,21,93,8,L21,1,# and how how quickly can you arrange that @ because we need to send out an engineer
a,i mean you are looking at anything between and working days for the earliest appointment from when you actually contact us,answ,2,94,21,L2,0,@ because we need to send out an engineer @ i mean you are looking at anything between and working days for the earliest appointment from when you actually contact us
b,yeah,ackn,1,95,1,L1,1,# i mean you are looking at anything between and working days for the earliest appointment from when you actually contact us @ yeah
b,so,init,25,96,1,L25,0,@ yeah @ so
b,when i contact you,refer,30,97,4,L30,0,@ so @ when i contact you
b,can we actually specify day that it's done,reqInfo,33,98,8,L33,0,@ when i contact you @ can we actually specify day that it's done
a,yes yeah,answ,2,99,2,L2,1,# can we actually specify day that it's done @ yes yeah
a,we can book you an appointment in,answElab,3,100,7,L3,0,@ yes yeah @ we can book you an appointment in
b,and can you book it as a m or p m,reqInfo,33,101,11,L33,1,# we can book you an appointment in @ and can you book it as a m or p m
a,good morning,greet,18,102,2,L18,1,# and can you book it as a m or p m @ good morning
a,how can i help,offer,27,103,4,L27,0,@ good morning @ how can i help
b,oh good,backch,5,104,2,L5,1,# how can i help @ oh good
b,oh good morning dear,greet,18,105,4,L18,0,@ oh good @ oh good morning dear
b,um i've had a phone bill this morning from you charging me for um an outright sale for an additional handset and charger that was delivered to me um on on Friday,inform,21,106,32,L21,0,@ oh good morning dear @ um i've had a phone bill this morning from you charging me for um an outright sale for an additional handset and charger that was delivered to me um on on Friday
b,now,init,25,107,1,L25,0,@ um i've had a phone bill this morning from you charging me for um an outright sale for an additional handset and charger that was delivered to me um on on Friday @ now
b,the thing is that um i spoke to someone on Monday because the lad who said this would do wonders and what's it miracles didn't explain that i needed a base for,inform,21,108,32,L21,0,@ now @ the thing is that um i spoke to someone on Monday because the lad who said this would do wonders and what's it miracles didn't explain that i needed a base for
a,right,backch,5,109,1,L5,1,# the thing is that um i spoke to someone on Monday because the lad who said this would do wonders and what's it miracles didn't explain that i needed a base for @ right
a,mm hmm,backch,5,110,2,L5,0,@ right @ mm hmm
a,oh dear,exclaim,13,111,2,L13,0,@ mm hmm @ oh dear
b,so,init,25,112,1,L25,1,# oh dear @ so
b,i spoke to somebody on Monday and i said well look i'm going to return this and they said yeah no problem at all we'll send you um an envelope to put,inform,21,113,32,L21,0,@ so @ i spoke to somebody on Monday and i said well look i'm going to return this and they said yeah no problem at all we'll send you um an envelope to put
a,right,backch,5,114,1,L5,1,# i spoke to somebody on Monday and i said well look i'm going to return this and they said yeah no problem at all we'll send you um an envelope to put @ right
a,that's right,ackn,1,115,2,L1,0,@ right @ that's right
a,it will,confirm,8,116,2,L8,0,@ that's right @ it will
b,well now,init,25,117,2,L25,1,# it will @ well now
b,um that was Monday,confirm,8,118,4,L8,0,@ well now @ um that was Monday
b,this morning i've got the bill for this um,inform,21,119,9,L21,0,@ um that was Monday @ this morning i've got the bill for this um
b,but i still haven't received the parcel the the envelopes to send this back in,inform,21,120,15,L21,0,@ this morning i've got the bill for this um @ but i still haven't received the parcel the the envelopes to send this back in
a,yeah,ackn,1,121,1,L1,1,# but i still haven't received the parcel the the envelopes to send this back in @ yeah
a,that's alright,ackn,1,122,2,L1,0,@ yeah @ that's alright
a,don't worry,direct,10,123,2,L10,0,@ that's alright @ don't worry
a,as soon as um it takes two or three days for the bag to get to you,inform,21,124,17,L21,0,@ don't worry @ as soon as um it takes two or three days for the bag to get to you
b,oh does it,backch,5,125,3,L5,1,# as soon as um it takes two or three days for the bag to get to you @ oh does it
b,right,ackn,1,126,1,L1,0,@ oh does it @ right
b,only i was gonna say i've still got the black bag it came in,inform,21,127,14,L21,0,@ right @ only i was gonna say i've still got the black bag it came in
b,i could tart that up and send it back no,expressPossibility,15,128,10,L15,0,@ only i was gonna say i've still got the black bag it came in @ i could tart that up and send it back no
a,no no no,negate,26,129,3,L26,1,# i could tart that up and send it back no @ no no no
b,right right fine,ackn,1,130,3,L1,1,# no no no @ right right fine
b,so so,init,25,131,2,L25,0,@ right right fine @ so so
b,that's what will happen,confirm,8,132,4,L8,0,@ so so @ that's what will happen
b,now,init,25,133,1,L25,0,@ that's what will happen @ now
b,when i get it,refer,30,134,4,L30,0,@ now @ when i get it
b,do i put this bill in with it,reqInfo,33,135,8,L33,0,@ when i get it @ do i put this bill in with it
a,and um,backch,5,136,2,L5,1,# do i put this bill in with it @ and um
a,um no no,answ,2,137,3,L2,0,@ and um @ um no no
a,if you keep the bill alright,direct,10,138,6,L10,0,@ um no no @ if you keep the bill alright
a,and then what we will do,informIntent,24,139,6,L24,0,@ if you keep the bill alright @ and then what we will do
a,we can credit that as soon as that comes back as soon as we receive the phone,inform,21,140,17,L21,0,@ and then what we will do @ we can credit that as soon as that comes back as soon as we receive the phone
a,then we will credit back,informIntent,24,141,5,L24,0,@ we can credit that as soon as that comes back as soon as we receive the phone @ then we will credit back
a,now,init,25,142,1,L25,0,@ then we will credit back @ now
a,is is that included with your normal bill,reqInfo,33,143,8,L33,0,@ now @ is is that included with your normal bill
b,mm,backch,5,144,1,L5,1,# is is that included with your normal bill @ mm
b,yeah,backch,5,145,1,L5,0,@ mm @ yeah
b,now,backch,5,146,1,L5,0,@ yeah @ now
b,no no,answ,2,147,2,L2,0,@ now @ no no
b,my normal bill's not due yet,inform,21,148,6,L21,0,@ no no @ my normal bill's not due yet
b,oh my god a person,exclaim,13,149,5,L13,0,@ my normal bill's not due yet @ oh my god a person
b,hello,greet,18,150,1,L18,0,@ oh my god a person @ hello
a,hello,greet,18,151,1,L18,1,# hello @ hello
b,i haven't got my account number bill on me,inform,21,152,9,L21,1,# hello @ i haven't got my account number bill on me
b,but if i give you my phone number,informIntent,24,153,8,L24,0,@ i haven't got my account number bill on me @ but if i give you my phone number
a,right okay,ackn,1,154,2,L1,1,# but if i give you my phone number @ right okay
b,um it's,inform,21,155,2,L21,1,# right okay @ um it's
a,yeah,ackn,1,156,1,L1,1,# um it's @ yeah
a,mm mm,ackn,1,157,2,L1,0,@ yeah @ mm mm
a,okay,ackn,1,158,1,L1,0,@ mm mm @ okay
a,and can you confirm your name and your address for me please,reqInfo,33,159,12,L33,0,@ okay @ and can you confirm your name and your address for me please
a,lovely,appreciate,4,160,1,L4,0,@ and can you confirm your name and your address for me please @ lovely
a,and do you know the post code,reqInfo,33,161,7,L33,0,@ lovely @ and do you know the post code
a,lovely,appreciate,4,162,1,L4,0,@ and do you know the post code @ lovely
a,thank you,thank,37,163,2,L37,0,@ lovely @ thank you
a,how can i help you today,offer,27,164,6,L27,0,@ thank you @ how can i help you today
b,oh it's a rang number here,inform,21,165,6,L21,1,# how can i help you today @ oh it's a rang number here
b,sorry,expressRegret,16,166,1,L16,0,@ oh it's a rang number here @ sorry
b,right,ackn,1,167,1,L1,0,@ sorry @ right
b,sorry,expressRegret,16,168,1,L16,0,@ right @ sorry
b,good morning,greet,18,169,2,L18,0,@ sorry @ good morning
a,good morning,greet,18,170,2,L18,1,# good morning @ good morning
b,how nice to phone early and to get through straight away um,appreciate,4,171,12,L4,1,# good morning @ how nice to phone early and to get through straight away um
b,yeah,accept,0,172,1,L0,0,@ how nice to phone early and to get through straight away um @ yeah
b,i know,accept,0,173,2,L0,0,@ yeah @ i know
b,i'm moving my dear,inform,21,174,4,L21,0,@ i know @ i'm moving my dear
b,and i want to give you some particulars,informIntent,24,175,8,L24,0,@ i'm moving my dear @ and i want to give you some particulars
a,hello,greet,18,176,1,L18,1,# and i want to give you some particulars @ hello
a,hello,greet,18,177,1,L18,0,@ hello @ hello
b,hello,greet,18,178,1,L18,1,# hello @ hello
a,yes,ackn,1,179,1,L1,1,# hello @ yes
a,can i help,offer,27,180,3,L27,0,@ yes @ can i help
b,hello,greet,18,181,1,L18,1,# can i help @ hello
b,wonder if you can um,direct,10,182,5,L10,0,@ hello @ wonder if you can um
b,we're moving out of the property on Friday,inform,21,183,8,L21,0,@ wonder if you can um @ we're moving out of the property on Friday
b,but we want to take um this number with us because we use it as a business line as well,inform,21,184,20,L21,0,@ we're moving out of the property on Friday @ but we want to take um this number with us because we use it as a business line as well
b,so,init,25,185,1,L25,0,@ but we want to take um this number with us because we use it as a business line as well @ so
b,we don't really want to have a new number,expressWish,17,186,9,L17,0,@ so @ we don't really want to have a new number
a,right,backch,5,187,1,L5,1,# we don't really want to have a new number @ right
a,oh right okay,ackn,1,188,3,L1,0,@ right @ oh right okay
a,you're moving sort of in the same area are you,reqInfo,33,189,10,L33,0,@ oh right okay @ you're moving sort of in the same area are you
b,um from um to so it's six miles no it's um yes in a minute mummy's on the phone double yeah it's mister no partner is yeah,answ,2,190,27,L2,1,# you're moving sort of in the same area are you @ um from um to so it's six miles no it's um yes in a minute mummy's on the phone double yeah it's mister no partner is yeah
b,so,init,25,191,1,L25,0,@ um from um to so it's six miles no it's um yes in a minute mummy's on the phone double yeah it's mister no partner is yeah @ so
b,it's six miles,answElab,3,192,3,L3,0,@ so @ it's six miles
a,right,ackn,1,193,1,L1,1,# it's six miles @ right
a,you probably won't be on the same exchange,inform,21,194,8,L21,0,@ right @ you probably won't be on the same exchange
a,but i'll have a look for you,informIntent,24,195,7,L24,0,@ you probably won't be on the same exchange @ but i'll have a look for you
a,what's your telephone number please,reqInfo,33,196,5,L33,0,@ but i'll have a look for you @ what's your telephone number please
b,it's um,answ,2,197,2,L2,1,# what's your telephone number please @ it's um
a,okay,ackn,1,198,1,L1,1,# it's um @ okay
a,and the dialling code please,reqInfo,33,199,5,L33,0,@ okay @ and the dialling code please
b,yeah,ackn,1,200,1,L1,1,# and the dialling code please @ yeah
b,it's mister no partner is yeah,answ,2,201,6,L2,0,@ yeah @ it's mister no partner is yeah
a,and post code,reqInfo,33,202,3,L33,1,# it's mister no partner is yeah @ and post code
a,that's lovely,appreciate,4,203,2,L4,0,@ and post code @ that's lovely
a,and your missus are you,reqInfo,33,204,5,L33,0,@ that's lovely @ and your missus are you
b,no,answ,2,205,1,L2,1,# and your missus are you @ no
b,partner,answElab,3,206,1,L3,0,@ no @ partner
a,right and your name and you're moving this Friday okay do you have your account number there at all,ackn,1,207,19,L1,1,# partner @ right and your name and you're moving this Friday okay do you have your account number there at all
a,and your name,reqInfo,33,208,3,L33,0,@ right and your name and you're moving this Friday okay do you have your account number there at all @ and your name
b,is yeah,answ,2,209,2,L2,1,# and your name @ is yeah
b,yeah,ackn,1,210,1,L1,0,@ is yeah @ yeah
a,okay,init,25,211,1,L25,1,# yeah @ okay
a,do you have your account number there at all,reqInfo,33,212,9,L33,0,@ okay @ do you have your account number there at all
b,hello,greet,18,213,1,L18,1,# do you have your account number there at all @ hello
b,uh it's here from um i still owe you pounds from um my phone bill um i can't pay it um it's not that i haven't got the money it's that me,identifySelf,20,214,32,L20,0,@ hello @ uh it's here from um i still owe you pounds from um my phone bill um i can't pay it um it's not that i haven't got the money it's that me
b,um i still owe you pounds from um my phone bill,inform,21,215,11,L21,0,@ uh it's here from um i still owe you pounds from um my phone bill um i can't pay it um it's not that i haven't got the money it's that me @ um i still owe you pounds from um my phone bill
b,um i can't pay it um,inform,21,216,6,L21,0,@ um i still owe you pounds from um my phone bill @ um i can't pay it um
b,it's not that i haven't got the money,inform,21,217,8,L21,0,@ um i can't pay it um @ it's not that i haven't got the money
b,it's that me son's gone and cut me card up,inform,21,218,10,L21,0,@ it's not that i haven't got the money @ it's that me son's gone and cut me card up
a,mm mm,backch,5,219,2,L5,1,# it's that me son's gone and cut me card up @ mm mm
a,ah right okay,ackn,1,220,3,L1,0,@ mm mm @ ah right okay
a,and we can get a replacement sent out for you,inform,21,221,10,L21,0,@ ah right okay @ and we can get a replacement sent out for you
b,right,ackn,1,222,1,L1,1,# and we can get a replacement sent out for you @ right
b,it's yes it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,answ,2,223,31,L2,0,@ right @ it's yes it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that
a,mm mm,ackn,1,224,2,L1,1,# it's yes it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that @ mm mm
a,okay,ackn,1,225,1,L1,0,@ mm mm @ okay
a,and can you just confirm the address with the postcode for it,reqInfo,33,226,12,L33,0,@ okay @ and can you just confirm the address with the postcode for it
b,yes,ackn,1,227,1,L1,1,# and can you just confirm the address with the postcode for it @ yes
b,it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,answ,2,228,29,L2,0,@ yes @ it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that
a,lovely,appreciate,4,229,1,L4,1,# it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that @ lovely
a,thank you right so you haven't actually got the payment card no right let's just have a little look right okay the quickest thing i'll do is is to send you a,thank,37,230,32,L37,0,@ lovely @ thank you right so you haven't actually got the payment card no right let's just have a little look right okay the quickest thing i'll do is is to send you a
a,right,ackn,1,231,1,L1,0,@ thank you right so you haven't actually got the payment card no right let's just have a little look right okay the quickest thing i'll do is is to send you a @ right
a,so,init,25,232,1,L25,0,@ right @ so
a,you haven't actually got the payment card,confirm,8,233,7,L8,0,@ so @ you haven't actually got the payment card
a,no,ackn,1,234,1,L1,0,@ you haven't actually got the payment card @ no
b,no,ackn,1,235,1,L1,1,# no @ no
b,i've got me money,inform,21,236,4,L21,0,@ no @ i've got me money
b,but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,inform,21,237,20,L21,0,@ i've got me money @ but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that
a,right,ackn,1,238,1,L1,1,# but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that @ right
a,let's just have a little look right okay the quickest thing i'll do is is to send you a payment slip okay then you can pay that through the post office so,informIntent-hold,38,239,32,L38,0,@ right @ let's just have a little look right okay the quickest thing i'll do is is to send you a payment slip okay then you can pay that through the post office so
a,right okay,init,25,240,2,L25,0,@ let's just have a little look right okay the quickest thing i'll do is is to send you a payment slip okay then you can pay that through the post office so @ right okay
a,the quickest thing i'll do is is to send you a payment slip okay,informIntent,24,241,14,L24,0,@ right okay @ the quickest thing i'll do is is to send you a payment slip okay
b,yeah,ackn,1,242,1,L1,1,# the quickest thing i'll do is is to send you a payment slip okay @ yeah
a,then you can pay that through the post office,inform,21,243,9,L21,1,# yeah @ then you can pay that through the post office
b,oh that's brilliant,accept,0,244,3,L0,1,# then you can pay that through the post office @ oh that's brilliant
a,so,init,25,245,1,L25,1,# oh that's brilliant @ so
a,sorry,pardon,28,246,1,L28,0,@ so @ sorry
b,will i be charged anything for that,reqInfo,33,247,7,L33,1,# sorry @ will i be charged anything for that
b,oh uh i have a query about our billing,inform,21,248,9,L21,0,@ will i be charged anything for that @ oh uh i have a query about our billing
a,right,ackn,1,249,1,L1,1,# oh uh i have a query about our billing @ right
a,yes,ackn,1,250,1,L1,0,@ right @ yes
a,can i take your telephone number please,reqInfo,33,251,7,L33,0,@ yes @ can i take your telephone number please
b,yes,ackn,1,252,1,L1,1,# can i take your telephone number please @ yes
b,uh yes my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget,answ,2,253,32,L2,0,@ yes @ uh yes my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget
a,yes,ackn,1,254,1,L1,1,# uh yes my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget @ yes
a,yes,ackn,1,255,1,L1,0,@ yes @ yes
a,thank you can you just confirm your name and address for me please yeah lovely how can i help mister right mm mm right,thank,37,256,24,L37,0,@ yes @ thank you can you just confirm your name and address for me please yeah lovely how can i help mister right mm mm right
a,can you just confirm your name and address for me please,reqInfo,33,257,11,L33,0,@ thank you can you just confirm your name and address for me please yeah lovely how can i help mister right mm mm right @ can you just confirm your name and address for me please
b,yes,ackn,1,258,1,L1,1,# can you just confirm your name and address for me please @ yes
b,my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement,answ,2,259,32,L2,0,@ yes @ my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement
a,yeah,backch,5,260,1,L5,1,# my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement @ yeah
a,lovely,appreciate,4,261,1,L4,0,@ yeah @ lovely
a,how can i help mister right mm mm right,offer,27,262,9,L27,0,@ lovely @ how can i help mister right mm mm right
b,okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse,ackn,1,263,32,L1,1,# how can i help mister right mm mm right @ okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse
b,i'm looking scuse me i'm looking at my bill,inform,21,264,9,L21,0,@ okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse @ i'm looking scuse me i'm looking at my bill
b,uh actually it's a statement a budget account statement which is dated the twenty sixth of June,correctSelf,39,265,17,L39,0,@ i'm looking scuse me i'm looking at my bill @ uh actually it's a statement a budget account statement which is dated the twenty sixth of June
a,right,backch,5,266,1,L5,1,# uh actually it's a statement a budget account statement which is dated the twenty sixth of June @ right
a,mm mm,ackn,1,267,2,L1,0,@ right @ mm mm
b,and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,inform,21,268,26,L21,1,# mm mm @ and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits
b,scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,expressRegret,16,269,22,L16,0,@ and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits @ scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits
b,on yes on the section that says oh dear me ah yes on page section says other charges and credits,inform,21,270,20,L21,0,@ scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits @ on yes on the section that says oh dear me ah yes on page section says other charges and credits
b,oh dear me,exclaim,13,271,3,L13,0,@ on yes on the section that says oh dear me ah yes on page section says other charges and credits @ oh dear me
b,ah yes,ackn,1,272,2,L1,0,@ oh dear me @ ah yes
